team_id,team_name,confidence,n_players,player_names_sample
219,Sochaux,HIGH,34,迈赫迪·让宁 / 马夏尔 / 弗洛伦丁·博格巴 / 萨利姆·姆巴卡塔 / 罗曼·桑 / 尤内·卡布尼
221,Toulouse,HIGH,37,马克西姆·迪佩 / 塞巴斯蒂安·德瓦斯特 / 克尔万·阿杜 / 巴福德·迪亚基特 / 史蒂文·莫雷拉 / 代韦尔·马查多
234,Stade Malherbe Caen,MED,31,皮埃尔路易吉·格里尼 / 克里斯蒂安·罗梅罗 / 拉斐尔·特洛伊 / 贝拉特·吉姆西蒂 / 马特恩·德鲁恩 / 雷莫·弗罗伊勒
235,Clermont Foot,MED,33,弗兰 / 西蒙尼·罗马尼奥利 / 迪米特里奥斯·尼科劳 / 斯蒂法诺·萨贝利 / 帕里西 / 莱奥·什图拉克
239,Chamois Niortais FC,MED,33,尼古拉斯·戴维·安德拉德 / 蒂亚戈·西奥内克 / 克里斯蒂安·达勒·穆拉 / 恩里科·德尔普拉托 / 詹卢卡·迪基亚拉 / 尼科洛·比安基
240,AS Saint-Ãtienne,MED,28,卡尔洛·莱蒂察 / 吉田麻也 / 亚历克斯·费拉里 / 奥马尔·科利 / 迈赫迪·莱里 / 托马索·奥杰洛
242,FSV Mainz 05,MED,37,马尔科·比佐特 / 约尔迪·克拉谢 / 罗兰多·马丁斯·因迪 / 约纳斯·斯文松 / 欧文·韦恩达尔 / 古德蒙德松
243,Rainmakers Classics,MED,40,弗拉伊斯尔 / 吉亚尼·祖维隆 / 沙奎尔·皮纳斯 / 西多夫 / 博伊·肯珀 / 约翰·霍森斯
244,Fireblast Classics,MED,31,塞尔吉奥·帕特 / 板仓滉 / 米格尔 / 达尼埃尔·范卡姆 / 艾哈迈德·马苏迪 / 托马什·苏斯洛夫
245,Warmstorm Classics,MED,32,埃尔温·穆尔德 / 范赫克 / 波希涅维奇 / 哈姆迪·阿库约比 / 卢卡斯·沃登贝尔赫 / 尤埃·维曼
250,Predators Classics,MED,25,约尔·德罗梅尔 / 达里奥·杜米奇 / 杰登·奥斯特沃德 / 蒂隆·埃布埃希 / 基杰斯·斯马尔 / 沃特·布拉马
251,Afghanistan,MED,35,埃里克·厄尔施莱格尔 / 范德马雷尔 / 威廉·扬森 / 希德·特尔·阿维斯特 / 德扬戈·瓦默丹 / 西蒙·古斯塔夫松
252,Bahrain,MED,29,雷姆科·帕斯维尔 / 里奇德利·巴佐尔 / 达尼尔霍·多希 / 托马什·哈耶克 / 埃拉扎尔·达萨 / 马克西米利安·维特克
254,Cambodia,MED,30,科斯塔斯·兰普鲁 / 梅勒·默伦斯滕 / 肖恩·阿德沃耶 / 赛义德·巴卡里 / 保罗·夸斯滕 / 武农·阿尼塔
255,India,MED,31,阿里亚内特·穆里奇 / 斯芬·范贝克 / 塞巴斯蒂安·霍尔门 / 莱罗伊·奥武苏 / 德里克·科恩 / 米凯·恩达伊希米耶
256,Indonesia,MED,30,沙维尔·穆斯 / 托马斯·范德贝尔特 / 中山雄太 / 马克·杜埃 / 肯内特·帕尔 / 佩莱·克莱门特
258,Jordan,MED,30,约金·埃兹基塔 / 乌奈·努涅斯 / 耶莱·阿尔瓦雷斯 / 伊尼戈·莱克 / 巴伦西亚加 / 乌奈·洛佩斯
259,North Korea,MED,34,迭戈·洛佩斯 / 费尔南多·卡莱罗 / 莱昂德罗·卡夫雷拉 / 奥马尔·埃尔希拉利 / 迪达克·比拉 / 波尔·洛萨诺
260,Kuwait,MED,40,达尼·巴里奥 / 胡安德·里瓦斯 / 洛班 / 伊斯梅尔·卡萨斯 / 何塞·马托斯 / 霍萨贝德
261,Lebanon,MED,34,科克 / 马丁·瓦尔延特 / 赖略 / 弗兰·加梅斯 / 布里安·奥利万 / 亚历山大·塞德拉尔
263,Myanmar,MED,31,胡安·佩雷斯 / 乌奈·加西亚 / 大卫·加西亚 / 纳乔·维达尔 / 马努·桑切斯 / 卢卡斯·托罗
